,roster_id,team,wk,matchup_id,points,opp_id,opp_team,opp_points,starters,full_name,starters_points,starter_slot,year
1,1,Mingo,1,4,54.55,6,Frazier,126.72,96,Aaron Rodgers,2.7,QB,2022
2,1,Mingo,1,4,54.55,6,Frazier,126.72,4029,Dalvin Cook,0,RB1,2022
3,1,Mingo,1,4,54.55,6,Frazier,126.72,4199,Aaron Jones,0,RB2,2022
4,1,Mingo,1,4,54.55,6,Frazier,126.72,6801,Tee Higgins,3.7,WR1,2022
5,1,Mingo,1,4,54.55,6,Frazier,126.72,3199,Michael Thomas,0,WR2,2022
6,1,Mingo,1,4,54.55,6,Frazier,126.72,8112,Drake London,9.9,WR3,2022
7,1,Mingo,1,4,54.55,6,Frazier,126.72,1466,Travis Kelce,0,TE,2022
8,1,Mingo,1,4,54.55,6,Frazier,126.72,1352,Robert Woods,0,FLEX,2022
9,1,Mingo,1,4,54.55,6,Frazier,126.72,4063,Haason Reddick,4,DL1,2022
10,1,Mingo,1,4,54.55,6,Frazier,126.72,957,Cameron Jordan,0,DL2,2022
11,1,Mingo,1,4,54.55,6,Frazier,126.72,6949,Jordyn Brooks,0,LB1,2022
12,1,Mingo,1,4,54.55,6,Frazier,126.72,6880,Logan Wilson,0,LB2,2022
13,1,Mingo,1,4,54.55,6,Frazier,126.72,3233,Kevin Byard,13,DB1,2022
14,1,Mingo,1,4,54.55,6,Frazier,126.72,2501,Quandre Diggs,0,DB2,2022
15,1,Mingo,1,4,54.55,6,Frazier,126.72,1576,Tyrann Mathieu,7.75,DB3,2022
16,1,Mingo,1,4,54.55,6,Frazier,126.72,7648,Nick Bolton,13.5,DFLEX,2022
17,2,Tim,1,3,191.55,4,Dan,206.65,167,Tom Brady,0,QB,2022
18,2,Tim,1,3,191.55,4,Dan,206.65,4866,Saquon Barkley,30.4,RB1,2022
19,2,Tim,1,3,191.55,4,Dan,206.65,3164,Ezekiel Elliott,5.4,RB2,2022
20,2,Tim,1,3,191.55,4,Dan,206.65,6786,CeeDee Lamb,3.9,WR1,2022
21,2,Tim,1,3,191.55,4,Dan,206.65,2133,Davante Adams,25.1,WR2,2022
22,2,Tim,1,3,191.55,4,Dan,206.65,2216,Mike Evans,16.85,WR3,2022
23,2,Tim,1,3,191.55,4,Dan,206.65,7553,Kyle Pitts,0,TE,2022
24,2,Tim,1,3,191.55,4,Dan,206.65,7547,Amon-Ra St. Brown,16.4,FLEX,2022
25,2,Tim,1,3,191.55,4,Dan,206.65,7640,Micah Parsons,19.75,DL1,2022
26,2,Tim,1,3,191.55,4,Dan,206.65,4135,Trey Hendrickson,5.5,DL2,2022
27,2,Tim,1,3,191.55,4,Dan,206.65,4960,Roquan Smith,15.25,LB1,2022
28,2,Tim,1,3,191.55,4,Dan,206.65,7651,Jeremiah Owusu-Koramoah,0,LB2,2022
29,2,Tim,1,3,191.55,4,Dan,206.65,7016,Jeremy Chinn,7.75,DB1,2022
30,2,Tim,1,3,191.55,4,Dan,206.65,4071,Marlon Humphrey,0,DB2,2022
31,2,Tim,1,3,191.55,4,Dan,206.65,4963,Minkah Fitzpatrick,30.5,DB3,2022
32,2,Tim,1,3,191.55,4,Dan,206.65,1233,Bobby Wagner,14.75,DFLEX,2022
33,3,Josh,1,1,155.87,7,Carter,82.1,4881,Lamar Jackson,25.22,QB,2022
34,3,Josh,1,1,155.87,7,Carter,82.1,6938,Cam Akers,0,RB1,2022
35,3,Josh,1,1,155.87,7,Carter,82.1,6790,D'Andre Swift,25,RB2,2022
36,3,Josh,1,1,155.87,7,Carter,82.1,2197,Brandin Cooks,11.7,WR1,2022
37,3,Josh,1,1,155.87,7,Carter,82.1,947,Julio Jones,0,WR2,2022
38,3,Josh,1,1,155.87,7,Carter,82.1,1825,Jarvis Landry,0,WR3,2022
39,3,Josh,1,1,155.87,7,Carter,82.1,6843,Albert Okwuegbunam,0,TE,2022
40,3,Josh,1,1,155.87,7,Carter,82.1,3969,Leonard Fournette,14.7,FLEX,2022
41,3,Josh,1,1,155.87,7,Carter,82.1,871,Von Miller,22,DL1,2022
42,3,Josh,1,1,155.87,7,Carter,82.1,5015,Sam Hubbard,3.75,DL2,2022
43,3,Josh,1,1,155.87,7,Carter,82.1,6220,Cole Holcomb,4.75,LB1,2022
44,3,Josh,1,1,155.87,7,Carter,82.1,4968,Tremaine Edmunds,11,LB2,2022
45,3,Josh,1,1,155.87,7,Carter,82.1,6888,Antoine Winfield,14,DB1,2022
46,3,Josh,1,1,155.87,7,Carter,82.1,4427,Kenny Moore,0,DB2,2022
47,3,Josh,1,1,155.87,7,Carter,82.1,5908,Amani Hooker,11.5,DB3,2022
48,3,Josh,1,1,155.87,7,Carter,82.1,2393,Danielle Hunter,12.25,DFLEX,2022
49,4,Dan,1,3,206.65,2,Tim,191.55,4046,Patrick Mahomes,44.9,QB,2022
50,4,Dan,1,3,206.65,2,Tim,191.55,3198,Derrick Henry,8.2,RB1,2022
51,4,Dan,1,3,206.65,2,Tim,191.55,4018,Joe Mixon,18,RB2,2022
52,4,Dan,1,3,206.65,2,Tim,191.55,2449,Stefon Diggs,22.2,WR1,2022
53,4,Dan,1,3,206.65,2,Tim,191.55,3321,Tyreek Hill,14,WR2,2022
54,4,Dan,1,3,206.65,2,Tim,191.55,5846,DK Metcalf,5.1,WR3,2022
55,4,Dan,1,3,206.65,2,Tim,191.55,5012,Mark Andrews,7.7,TE,2022
56,4,Dan,1,3,206.65,2,Tim,191.55,4988,Nick Chubb,14.8,FLEX,2022
57,4,Dan,1,3,206.65,2,Tim,191.55,3973,Myles Garrett,27,DL1,2022
58,4,Dan,1,3,206.65,2,Tim,191.55,2227,Aaron Donald,0,DL2,2022
59,4,Dan,1,3,206.65,2,Tim,191.55,1875,C.J. Mosley,11.75,LB1,2022
60,4,Dan,1,3,206.65,2,Tim,191.55,2350,Eric Kendricks,5.5,LB2,2022
61,4,Dan,1,3,206.65,2,Tim,191.55,5017,Jessie Bates,2,DB1,2022
62,4,Dan,1,3,206.65,2,Tim,191.55,6872,Kyle Dugger,10.75,DB2,2022
63,4,Dan,1,3,206.65,2,Tim,191.55,1213,Harrison Smith,14.75,DB3,2022
64,4,Dan,1,3,206.65,2,Tim,191.55,7012,Mykal Walker,0,DFLEX,2022
65,5,Parker,1,2,41.5,8,Caleb,174.73,1234,Russell Wilson,0,QB,2022
66,5,Parker,1,2,41.5,8,Caleb,174.73,7611,Rhamondre Stevenson,0,RB1,2022
67,5,Parker,1,2,41.5,8,Caleb,174.73,6820,Clyde Edwards-Helaire,20.9,RB2,2022
68,5,Parker,1,2,41.5,8,Caleb,174.73,1817,Sammy Watkins,0,WR1,2022
69,5,Parker,1,2,41.5,8,Caleb,174.73,1992,Allen Robinson,0,WR2,2022
70,5,Parker,1,2,41.5,8,Caleb,174.73,8144,Chris Olave,7.6,WR3,2022
71,5,Parker,1,2,41.5,8,Caleb,174.73,5844,T.J. Hockenson,0,TE,2022
72,5,Parker,1,2,41.5,8,Caleb,174.73,4037,Chris Godwin,0,FLEX,2022
73,5,Parker,1,2,41.5,8,Caleb,174.73,3156,Joey Bosa,0,DL1,2022
74,5,Parker,1,2,41.5,8,Caleb,174.73,3197,Emmanuel Ogbah,0,DL2,2022
75,5,Parker,1,2,41.5,8,Caleb,174.73,6119,Devin White,0,LB1,2022
76,5,Parker,1,2,41.5,8,Caleb,174.73,2353,Denzel Perryman,5.25,LB2,2022
77,5,Parker,1,2,41.5,8,Caleb,174.73,4238,Xavier Woods,0,DB1,2022
78,5,Parker,1,2,41.5,8,Caleb,174.73,5881,Nasir Adderley,0,DB2,2022
79,5,Parker,1,2,41.5,8,Caleb,174.73,5375,Jordan Whitehead,7.75,DB3,2022
80,5,Parker,1,2,41.5,8,Caleb,174.73,1052,Demario Davis,0,DFLEX,2022
81,6,Frazier,1,4,126.72,1,Mingo,54.55,6770,Joe Burrow,18.22,QB,2022
82,6,Frazier,1,4,126.72,1,Mingo,54.55,4985,Rashaad Penny,7.7,RB1,2022
83,6,Frazier,1,4,126.72,1,Mingo,54.55,3664,J.D. McKissic,0,RB2,2022
84,6,Frazier,1,4,126.72,1,Mingo,54.55,7564,Ja'Marr Chase,25.15,WR1,2022
85,6,Frazier,1,4,126.72,1,Mingo,54.55,4983,DJ Moore,6.5,WR2,2022
86,6,Frazier,1,4,126.72,1,Mingo,54.55,7571,Rashod Bateman,12.9,WR3,2022
87,6,Frazier,1,4,126.72,1,Mingo,54.55,5022,Dallas Goedert,7.5,TE,2022
88,6,Frazier,1,4,126.72,1,Mingo,54.55,4950,Christian Kirk,0,FLEX,2022
89,6,Frazier,1,4,126.72,1,Mingo,54.55,4965,Marcus Davenport,0,DL1,2022
90,6,Frazier,1,4,126.72,1,Mingo,54.55,5839,Rashan Gary,14.75,DL2,2022
91,6,Frazier,1,4,126.72,1,Mingo,54.55,7023,Willie Gay,4.75,LB1,2022
92,6,Frazier,1,4,126.72,1,Mingo,54.55,4191,Matt Milano,7.75,LB2,2022
93,6,Frazier,1,4,126.72,1,Mingo,54.55,5882,Taylor Rapp,3.5,DB1,2022
94,6,Frazier,1,4,126.72,1,Mingo,54.55,7666,Jevon Holland,10.75,DB2,2022
95,6,Frazier,1,4,126.72,1,Mingo,54.55,5860,Johnathan Abram,0,DB3,2022
